Country,Product_Group_Use,SalesRep_Code,yearmonth,Product_MTD,UserKey_4Map,Product_QTD,Product_Total_MTD,Product_Total_QTD,Product_Max_MTD,Product_Max_QTD,Product_Percent_MTD,Product_Percent_QTD,Manager_Id
TW,REQUIP,BJY1,2024-08-01,107191.0,TW_BJY1,272118.0,1123557.0,2903842.0,549400.0,1197907.0,0.1951055697124135,0.2271612070052182,0055h000006NBt3AAG
TW,WELLBU,BJY1,2024-08-01,75431.0,TW_BJY1,181325.0,1123557.0,2903842.0,549400.0,1197907.0,0.1372970513287222,0.1513681779971233,0055h000006NBt3AAG
TW,SEROXA,BJY1,2024-08-01,7216.0,TW_BJY1,39651.0,1123557.0,2903842.0,549400.0,1197907.0,0.0131343283582089,0.0331002323218747,0055h000006NBt3AAG
TW,VALCYT,BJX3,2024-08-01,124358.0,TW_BJX3,2052006.0,1048603.0,4610019.0,193508.0,2052006.0,0.6426504330570312,1.0,0055h000006NBt3AAG
TW,LAMICT,BJX3,2024-08-01,193508.0,TW_BJX3,661629.0,1048603.0,4610019.0,193508.0,2052006.0,1.0,0.3224303437709246,0055h000006NBt3AAG
TW,NICOTI,BJX3,2024-08-01,173536.0,TW_BJX3,489659.0,1048603.0,4610019.0,193508.0,2052006.0,0.8967897968042665,0.2386245459321269,0055h000006NBt3AAG
TW,WELLBU,BJX3,2024-08-01,179403.0,TW_BJX3,442317.0,1048603.0,4610019.0,193508.0,2052006.0,0.9271089567356388,0.215553463293967,0055h000006NBt3AAG
TW,REQUIP,BJX3,2024-08-01,182124.0,TW_BJX3,380660.0,1048603.0,4610019.0,193508.0,2052006.0,0.941170390888232,0.1855062801960618,0055h000006NBt3AAG
TW,XYZAL,BJX3,2024-08-01,117029.0,TW_BJX3,340652.0,1048603.0,4610019.0,193508.0,2052006.0,0.6047760299315791,0.1660092611814975,0055h000006NBt3AAG
TW,SEROXA,BJX3,2024-08-01,50493.0,TW_BJX3,163021.0,1048603.0,4610019.0,193508.0,2052006.0,0.2609349484259048,0.0794446994794362,0055h000006NBt3AAG
TW,IMIGRA,BJX3,2024-08-01,28152.0,TW_BJX3,80075.0,1048603.0,4610019.0,193508.0,2052006.0,0.1454823573185604,0.0390227903817045,0055h000006NBt3AAG
TW,NICOTI,BJX2,2024-08-01,230525.0,TW_BJX2,444984.0,886765.0,2395629.0,230525.0,444984.0,1.0,1.0,0055h000006NBt3AAG
TW,REQUIP,BJX2,2024-08-01,106876.0,TW_BJX2,399644.0,886765.0,2395629.0,230525.0,444984.0,0.4636199978310378,0.8981086960430038,0055h000006NBt3AAG
TW,WELLBU,BJX2,2024-08-01,81199.0,TW_BJX2,399550.0,886765.0,2395629.0,230525.0,444984.0,0.3522351154972346,0.8978974524926739,0055h000006NBt3AAG
TW,VALCYT,BJX2,2024-08-01,203585.0,TW_BJX2,317864.0,886765.0,2395629.0,230525.0,444984.0,0.8831363192712287,0.7143268072559912,0055h000006NBt3AAG
TW,XYZAL,BJX2,2024-08-01,90018.0,TW_BJX2,310882.0,886765.0,2395629.0,230525.0,444984.0,0.3904912699273398,0.6986363554644661,0055h000006NBt3AAG
TW,LAMICT,BJX2,2024-08-01,106994.0,TW_BJX2,295529.0,886765.0,2395629.0,230525.0,444984.0,0.4641318728988179,0.6641339913345199,0055h000006NBt3AAG
TW,SEROXA,BJX2,2024-08-01,37518.0,TW_BJX2,165491.0,886765.0,2395629.0,230525.0,444984.0,0.162750244008242,0.3719032594430361,0055h000006NBt3AAG
TW,IMIGRA,BJX2,2024-08-01,30050.0,TW_BJX2,61685.0,886765.0,2395629.0,230525.0,444984.0,0.1303546253117883,0.1386229617244665,0055h000006NBt3AAG
TW,VALCYT,BJX1,2024-08-01,853806.0,TW_BJX1,968564.0,2243489.0,4437623.0,853806.0,968564.0,1.0,1.0,0055h000006NBt3AAG
TW,REQUIP,BJX1,2024-08-01,318783.0,TW_BJX1,815263.0,2243489.0,4437623.0,853806.0,968564.0,0.3733670178002966,0.8417234173477437,0055h000006NBt3AAG
TW,WELLBU,BJX1,2024-08-01,343087.0,TW_BJX1,749234.0,2243489.0,4437623.0,853806.0,968564.0,0.4018325005914692,0.773551360570907,0055h000006NBt3AAG
TW,LAMICT,BJX1,2024-08-01,272528.0,TW_BJX1,676793.0,2243489.0,4437623.0,853806.0,968564.0,0.3191919475852828,0.698759194023317,0055h000006NBt3AAG
TW,XYZAL,BJX1,2024-08-01,260482.0,TW_BJX1,600160.0,2243489.0,4437623.0,853806.0,968564.0,0.3050833561722452,0.6196389706823711,0055h000006NBt3AAG
