Country,SalesRep_Code,salesrepemployeeid_z,yearmonth,MTD Sales,MTD Target,UserKey_4Map,Column1
ID,MRJKNS02,eandri,2024-07-01,319688573.41999996,0.0,ID_MR_MRJKNS02,-319688573.41999996
ID,MRJKNS01,abahrul,2024-07-01,251793410.82999998,0.0,ID_MR_MRJKNS01,-251793410.82999998
ID,MRJKNS07,ghajrian,2024-07-01,315225626.42,0.0,ID_MR_MRJKNS07,-315225626.42
ID,MRJKNS03,dafatin,2024-07-01,290070850.42,0.0,ID_MR_MRJKNS03,-290070850.42
ID,MRJKNS05,awahyusari,2024-07-01,264681603.95,0.0,ID_MR_MRJKNS05,-264681603.95
ID,MRJKNS05,awahyusari,2024-08-01,44964639.25,0.0,ID_MR_MRJKNS05,-44964639.25
ID,MRJKNS07,ghajrian,2024-08-01,94526265.7,0.0,ID_MR_MRJKNS07,-94526265.7
ID,MRJKNS02,eandri,2024-08-01,89448870.7,0.0,ID_MR_MRJKNS02,-89448870.7
ID,MRJKNS04,twahyudi,2024-07-01,421023496.54,0.0,ID_MR_MRJKNS04,-421023496.54
MY,E308,lmlau,2024-07-01,147441.58,0.0,MY_MR_E308,-147441.58
MY,E307,vincent.koh,2024-08-01,67634.66999999998,0.0,MY_MR_E307,-67634.66999999998
MY,E301,YFVoon,2024-08-01,43255.58999999999,0.0,MY_MR_E301,-43255.58999999999
MY,E304,yong.sheng,2024-08-01,54879.92,0.0,MY_MR_E304,-54879.92
MY,E302,nurul.diyana,2024-08-01,82273.72999999998,0.0,MY_MR_E302,-82273.72999999998
MY,E307,vincent.koh,2024-07-01,58468.880000000005,0.0,MY_MR_E307,-58468.880000000005
MY,E308,lmlau,2024-08-01,66122.61,0.0,MY_MR_E308,-66122.61
MY,E306,muhamad.azran,2024-07-01,14057.69,0.0,MY_MR_E306,-14057.69
MY,K006,tliew,2024-07-01,12074.310000000003,0.0,MY_MR_K006,-12074.310000000003
ID,MRJKNS01,abahrul,2024-08-01,72394117.05,0.0,ID_MR_MRJKNS01,-72394117.05
ID,MRJKNS03,dafatin,2024-08-01,49323242.7,0.0,ID_MR_MRJKNS03,-49323242.7
ID,MRJKNS04,twahyudi,2024-08-01,70023886.9,0.0,ID_MR_MRJKNS04,-70023886.9
ID,MRJKNS06,mwidodo,2024-07-01,242306416.42000002,0.0,ID_MR_MRJKNS06,-242306416.42000002
MY,E310,kent.lim;vivian.lee,2024-08-01,29616.950000000008,0.0,MY_MR_E310,-29616.950000000008
MY,E306,muhamad.azran,2024-08-01,13194.659999999998,0.0,MY_MR_E306,-13194.659999999998
MY,E11S,cjtan;phteoh;samantha.chang,2024-08-01,18576.0,0.0,MY_MR_E11S,-18576.0
ID,MRJKNS06,mwidodo,2024-08-01,52695058.7,0.0,ID_MR_MRJKNS06,-52695058.7
MY,K007,faylim;jimleong;jlmar,2024-07-01,56273.25,0.0,MY_MR_K007,-56273.25
MY,E11S,cjtan;phteoh;samantha.chang,2024-07-01,83592.0,0.0,MY_MR_E11S,-83592.0
MY,E305,mtwong,2024-08-01,17908.63,0.0,MY_MR_E305,-17908.63
MY,K011,faylim;jimleong;jlmar,2024-07-01,395.0,0.0,MY_MR_K011,-395.0
MY,MSS1,PKKhor;alice.tai;amy.cheah;chong.shii;elly.tai;lee.chen;lyra.yeo;mei.zhi;melvin.chan;michelle.ho;michelle.teh;nattalie.khoo;wen.fei,2024-08-01,21014.0,0.0,MY_MR_MSS1,-21014.0
ID,MRJKSPX1,aibputri;rridhatama,2024-07-01,242533810.0,0.0,ID_MR_MRJKSPX1,-242533810.0
ID,MRJKSPX1,aibputri;rridhatama,2024-08-01,105002873.0,0.0,ID_MR_MRJKSPX1,-105002873.0
MY,E9CS,DmCheng;lois.shitu;ptyap,2024-08-01,16650.0,0.0,MY_MR_E9CS,-16650.0
MY,K010,faylim;jimleong;jlmar,2024-08-01,13716.0,0.0,MY_MR_K010,-13716.0
MY,MSS1,PKKhor;alice.tai;amy.cheah;chong.shii;elly.tai;lee.chen;lyra.yeo;mei.zhi;melvin.chan;michelle.ho;michelle.teh;nattalie.khoo;wen.fei,2024-07-01,23614.44,0.0,MY_MR_MSS1,-23614.44
ID,MRBKABX1,kkifron;pbrotoraharjo;ppintorhot,2024-08-01,-14300000.0,0.0,ID_MR_MRBKABX1,14300000.0
MY,E9CS,DmCheng;lois.shitu;ptyap,2024-07-01,11150.0,0.0,MY_MR_E9CS,-11150.0
MY,K007,faylim;jimleong;jlmar,2024-08-01,24640.0,0.0,MY_MR_K007,-24640.0
MY,K010,faylim;jimleong;jlmar,2024-07-01,2888.0,0.0,MY_MR_K010,-2888.0
MY,K012,faylim;jimleong;jlmar,2024-08-01,984.15,0.0,MY_MR_K012,-984.15
MY,K012,faylim;jimleong;jlmar,2024-07-01,1574.64,0.0,MY_MR_K012,-1574.64
SG,E006,klaong,2024-07-01,124543.52000000002,0.0,SG_MR_E006,-124543.52000000002
SG,T402,wqsee,2024-07-01,27485.870000000006,0.0,SG_MR_T402,-27485.870000000006
SG,T402,wqsee,2024-08-01,9576.749999999996,0.0,SG_MR_T402,-9576.749999999996
SG,T302,Cku,2024-07-01,250320.88999999993,0.0,SG_MR_T302,-250320.88999999993
SG,T302,Cku,2024-08-01,149732.54,0.0,SG_MR_T302,-149732.54
