Country,Product_Group_Use,SalesRep_Code,yearmonth,MTD Sales,UserKey_4Map
TW,ACNEAI,BBS5,2024-08-01,37851.0,TW_BBS5
TW,BETADI,BBN5,2024-08-01,2304.0,TW_BBN5
TW,EFIENT,BFC2,2024-08-01,27514.0,TW_BFC2
TW,TRANSA,BFR2,2024-08-01,2614.0,TW_BFR2
TW,GYNERA,BJN3,2024-08-01,27143.0,TW_BJN3
TW,ACNEAI,BBS3,2024-08-01,11917.0,TW_BBS3
TW,ALDARA,BJN4,2024-08-01,54546.0,TW_BJN4
TW,CRAVIT,BFR1,2024-08-01,2365.0,TW_BFR1
TW,TRANSA,BFS6,2024-08-01,18299.0,TW_BFS6
TW,EVOXAC,BFC5,2024-08-01,34190.0,TW_BFC5
TW,EFIENT,BFR6,2024-08-01,9172.0,TW_BFR6
TW,TRANSA,BFS2,2024-08-01,5228.0,TW_BFS2
TW,EFIENT,BFC8,2024-08-01,1835.0,TW_BFC8
TW,MELIAN,BJN3,2024-08-01,27430.0,TW_BJN3
TW,MIRENA,BJS5,2024-08-01,7149.0,TW_BJS5
TW,XENICA,BBC1,2024-08-01,10286.0,TW_BBC1
TW,EFIENT,BFR2,2024-08-01,2751.0,TW_BFR2
TW,CRAVIT,BFS2,2024-08-01,13143.0,TW_BFS2
TW,NICOTI,BJS5,2024-08-01,16821.0,TW_BJS5
TW,XENICA,BFC5,2024-08-01,1645.0,TW_BFC5
TW,NICOTI,BAL1,2024-08-01,193475.0,TW_BAL1
TW,EVOXAC,BFC2,2024-08-01,70008.0,TW_BFC2
TW,CANNIS,BU10_N1,2024-08-01,0.0,TW_BU10_N1
TW,YASMIN,BJS8,2024-08-01,77524.0,TW_BJS8
TW,ALDARA,BJN8,2024-08-01,5714.0,TW_BJN8
TW,YAZ,BJN3,2024-08-01,28477.0,TW_BJN3
TW,DILATR,BFC2,2024-08-01,13532.0,TW_BFC2
TW,NICOTI,BJN5,2024-08-01,9600.0,TW_BJN5
TW,DIAGNO,BFS7,2024-08-01,4857.0,TW_BFS7
TW,IMIGRA,BJY3,2024-08-01,35546.0,TW_BJY3
TW,DILATR,BFN2,2024-08-01,13534.0,TW_BFN2
TW,MIRENA,BJS2,2024-08-01,35962.0,TW_BJS2
TW,XENICA,BFR5,2024-08-01,26667.0,TW_BFR5
TW,CRAVIT,BFC8,2024-08-01,1574.0,TW_BFC8
TW,CRAVIT,BFR2,2024-08-01,1184.0,TW_BFR2
TW,P-MICR,BU10_S1,2024-08-01,2571.0,TW_BU10_S1
TW,BETADI,BBS3,2024-08-01,-145.0,TW_BBS3
TW,P-NEOP,BU10_S1,2024-08-01,10610.0,TW_BU10_S1
TW,EVOXAC,BFR5,2024-08-01,3257.0,TW_BFR5
TW,CRAVIT,BFR6,2024-08-01,2629.0,TW_BFR6
TW,DIFFLA,BIBG,2024-08-01,19215.0,TW_BIBG
TW,ZZZAAA,BAL1,2024-08-01,0.0,TW_BAL1
TW,VALCYT,BJZ2,2024-08-01,101440.0,TW_BJZ2
TW,MEVALO,BFC2,2024-08-01,21905.0,TW_BFC2
TW,CRAVIT,BFR5,2024-08-01,3549.0,TW_BFR5
TW,DIANE,BJS2,2024-08-01,42332.0,TW_BJS2
TW,BETADI,BAK1,2024-08-01,48336.0,TW_BAK1
TW,YASMIN,BJN5,2024-08-01,38000.0,TW_BJN5
TW,ALDARA,BJS7,2024-08-01,114286.0,TW_BJS7
TW,ZZZAAA,BBN5,2024-08-01,0.0,TW_BBN5
TW,MEVALO,BFC7,2024-08-01,987.0,TW_BFC7
TW,EVOXAC,BFC4,2024-08-01,6513.0,TW_BFC4
TW,EFIENT,BFC7,2024-08-01,1835.0,TW_BFC7
TW,PFSNSS,BU10_S3,2024-08-01,34628.0,TW_BU10_S3
TW,MELIAN,BJN7,2024-08-01,3428.0,TW_BJN7
TW,ALDARA,BJN2,2024-08-01,114286.0,TW_BJN2
TW,ACNEAI,BJS2,2024-08-01,3817.0,TW_BJS2
TW,MICROG,BJC1,2024-08-01,14858.0,TW_BJC1
TW,EVOXAC,BFS3,2024-08-01,68381.0,TW_BFS3
TW,TRANSA,BFR5,2024-08-01,714.0,TW_BFR5
TW,TRANSA,BFR3,2024-08-01,8330.0,TW_BFR3
TW,IMIGRA,BJS8,2024-08-01,4945.0,TW_BJS8
TW,BETADI,BBN6,2024-08-01,-301.0,TW_BBN6
TW,TAMBOC,BIBE,2024-08-01,3920.0,TW_BIBE
TW,ALDARA,BJS5,2024-08-01,2857.0,TW_BJS5
TW,NICOTI,BJN6,2024-08-01,5632.0,TW_BJN6
TW,TRANSA,BFN2,2024-08-01,871.0,TW_BFN2
TW,ZZZAAA,BJN7,2024-08-01,0.0,TW_BJN7
TW,DIFFLA,BJZD,2024-08-01,4937.0,TW_BJZD
TW,CORDIS,BU11_N3,2024-08-01,83604.0,TW_BU11_N3
TW,ACNEAI,BJN8,2024-08-01,11139.0,TW_BJN8
TW,BETADI,BBN3,2024-08-01,948.0,TW_BBN3
TW,ALDARA,BJS3,2024-08-01,13572.0,TW_BJS3
TW,CORDIS,BU11_C2,2024-08-01,19171.0,TW_BU11_C2
TW,TRANSA,BFS4,2024-08-01,13071.0,TW_BFS4
TW,P-NEOP,BU10_N1,2024-08-01,4095.0,TW_BU10_N1
TW,P-ESSE,BU10_N4,2024-08-01,7714.0,TW_BU10_N4
TW,MELIAN,BJS8,2024-08-01,3429.0,TW_BJS8
TW,TRANSA,BFSA,2024-08-01,10871.0,TW_BFSA
TW,CRAVIT,BFC5,2024-08-01,7755.0,TW_BFC5
TW,P-ESSE,BU10_N2,2024-08-01,4762.0,TW_BU10_N2
TW,MELIAN,BJS5,2024-08-01,20572.0,TW_BJS5
TW,EVOXAC,BFN2,2024-08-01,55547.0,TW_BFN2
TW,YASMIN,BJN8,2024-08-01,77524.0,TW_BJN8
TW,DIANE,BJN3,2024-08-01,19505.0,TW_BJN3
TW,GYNERA,BJS8,2024-08-01,13572.0,TW_BJS8
TW,MEVALO,BFR6,2024-08-01,10953.0,TW_BFR6
TW,YAZ,BJS5,2024-08-01,44572.0,TW_BJS5
TW,LAMISI,BAW1,2024-08-01,8666.0,TW_BAW1
TW,ACNEAI,BJS6,2024-08-01,3817.0,TW_BJS6
TW,BETADI,BBN2,2024-08-01,6065.0,TW_BBN2
TW,DILATR,BFSB,2024-08-01,33834.0,TW_BFSB
TW,TAMBOC,BJN4,2024-08-01,36100.0,TW_BJN4
TW,ACNEAI,BAL1,2024-08-01,4185.0,TW_BAL1
TW,BETADI,BBC1,2024-08-01,12130.0,TW_BBC1
TW,MICROG,BJN4,2024-08-01,11428.0,TW_BJN4
TW,MELIAN,BJS6,2024-08-01,3429.0,TW_BJS6
TW,MELIAN,BJN2,2024-08-01,10285.0,TW_BJN2
TW,BETADI,BAW1,2024-08-01,8414.0,TW_BAW1
TW,YAZ,XXBU8,2024-08-01,45600.0,TW_XXBU8
TW,ALDARA,BJN5,2024-08-01,2857.0,TW_BJN5
TW,LAMISI,BAW2,2024-08-01,113809.0,TW_BAW2
TW,YAZ,BJS8,2024-08-01,44571.0,TW_BJS8
TW,ZZZAAA,BJN6,2024-08-01,0.0,TW_BJN6
TW,DIAGNO,XXBU4,2024-08-01,9714.0,TW_XXBU4
TW,TRANSA,BFC8,2024-08-01,3486.0,TW_BFC8
TW,YASMIN,BJS3,2024-08-01,6286.0,TW_BJS3
TW,DIANE,BJN5,2024-08-01,12191.0,TW_BJN5
TW,ACNEAI,BAK1,2024-08-01,477.0,TW_BAK1
TW,ACNEAI,BJN7,2024-08-01,3817.0,TW_BJN7
TW,ACNEAI,BJS8,2024-08-01,3817.0,TW_BJS8
TW,XENICA,BBS7,2024-08-01,3429.0,TW_BBS7
TW,LINER,BU10_N1,2024-08-01,24762.0,TW_BU10_N1
TW,XENICA,BBC2,2024-08-01,10286.0,TW_BBC2
TW,CHESTD,BU10_KA,2024-08-01,377143.0,TW_BU10_KA
TW,DILATR,BFS8,2024-08-01,21266.0,TW_BFS8
TW,PFSNSS,BU10_N2,2024-08-01,2286.0,TW_BU10_N2
TW,WELLBU,BJS2,2024-08-01,1937.0,TW_BJS2
TW,GYNERA,BJS6,2024-08-01,40714.0,TW_BJS6
TW,MICROG,BJS8,2024-08-01,3428.0,TW_BJS8
TW,ACNEAI,BJN6,2024-08-01,7634.0,TW_BJN6
TW,GYNERA,BJC4,2024-08-01,27143.0,TW_BJC4
TW,CORDIS,BU11_KA,2024-08-01,6400.0,TW_BU11_KA
TW,P-PI,BU10_C2,2024-08-01,5428.0,TW_BU10_C2
TW,ACNEAI,BBS7,2024-08-01,21029.0,TW_BBS7
TW,PERDIP,XXBU4,2024-08-01,13333.0,TW_XXBU4
TW,ZZZCCC,BBC1,2024-08-01,122025.0,TW_BBC1
TW,ZZZCCC,BBN1,2024-08-01,75372.0,TW_BBN1
TW,ZZZCCC,BBS6,2024-08-01,195025.0,TW_BBS6
TW,ZZZCCC,XXBU4,2024-08-01,10387715.0,TW_XXBU4
TW,ZZZCCC,BJZD,2024-08-01,327082.0,TW_BJZD
TW,ZZZCCC,BBS7,2024-08-01,138031.0,TW_BBS7
TW,ZZZCCC,BBC2,2024-08-01,60034.0,TW_BBC2
TW,ZZZCCC,BBN6,2024-08-01,107673.0,TW_BBN6
TW,ZZZCCC,BFN6,2024-08-01,71354.0,TW_BFN6
TW,ZZZCCC,BFR2,2024-08-01,602268.0,TW_BFR2
TW,ZZZCCC,BFN2,2024-08-01,54382.0,TW_BFN2
TW,ZZZCCC,BFS4,2024-08-01,183372.0,TW_BFS4
TW,ZZZCCC,BBS3,2024-08-01,60816.0,TW_BBS3
TW,ZZZCCC,BFC1,2024-08-01,126409.0,TW_BFC1
TW,ZZZCCC,BFC2,2024-08-01,234971.0,TW_BFC2
TW,ZZZCCC,BFC3,2024-08-01,75271.0,TW_BFC3
TW,ZZZCCC,BFC8,2024-08-01,44303.0,TW_BFC8
TW,ZZZCCC,BFSC,2024-08-01,36823.0,TW_BFSC
TW,ZZZCCC,BAL2,2024-08-01,467321.0,TW_BAL2
TW,ZZZCCC,BBN3,2024-08-01,38269.0,TW_BBN3
TW,ZZZCCC,BFR1,2024-08-01,166745.0,TW_BFR1
TW,ZZZCCC,BFR5,2024-08-01,146760.0,TW_BFR5
TW,ZZZCCC,BBN2,2024-08-01,256364.0,TW_BBN2
TW,ZZZCCC,BU11_C2,2024-08-01,37591.0,TW_BU11_C2
TW,ZZZCCC,BU11_N2,2024-08-01,200519.0,TW_BU11_N2
TW,ZZZCCC,BFBUM,2024-08-01,288570.0,TW_BFBUM
TW,ZZZCCC,BBN5,2024-08-01,151883.0,TW_BBN5
TW,ZZZCCC,BU11_N1,2024-08-01,272383.0,TW_BU11_N1
TW,ZZZCCC,BFN7,2024-08-01,175274.0,TW_BFN7
TW,ZZZCCC,BFR6,2024-08-01,180188.0,TW_BFR6
TW,ZZZCCC,BBS1,2024-08-01,42700.0,TW_BBS1
TW,ZZZCCC,BFN4,2024-08-01,114470.0,TW_BFN4
TW,ZZZCCC,BFS1,2024-08-01,12666.0,TW_BFS1
TW,ZZZCCC,BU11_KA,2024-08-01,247253.0,TW_BU11_KA
